step,episode,A,phi,n,reward
1,1,9.133049696683884,3.8034027911040527,5,-0.024292776552648387
2,1,5.408880412578583,0.2559504615744889,4,-0.0010753212218923558
3,1,5.42512834072113,0.46161886057384016,1,-0.005318492889393678
4,1,8.749558106064796,1.0642630238278896,3,0.05182508342977088
5,1,8.64287719130516,2.061637032690534,3,0.050205671194934576
6,1,8.320694267749786,4.855438675419331,5,-0.02309227295309335
7,1,7.67304752022028,5.041224683562872,3,-0.05019859969545659
8,1,9.954210221767426,5.880052452953697,5,-0.01658999032875319
9,2,8.687980100512505,1.2021561369805545,5,0.022981686875634955
10,2,7.4177485052496195,4.385303431405096,2,0.004007163610291631
11,2,8.910762667655945,4.630478202266841,5,-0.016561451777288516
12,2,6.860539093613625,4.612877308224781,1,-0.0864573700546889
13,2,8.779217302799225,0.46854443178662364,5,0.02364692588512929
14,2,8.397662118077278,2.1944943370930194,2,-0.0341745171211687
15,2,6.557054445147514,5.518446255931601,4,0.0018976809198782973
16,2,8.17007839679718,3.983027830945574,2,-0.09589940193635005
17,3,9.409478157758713,1.4473662987564326,5,0.03275407823153231
18,3,6.167196333408356,0.7427627844197989,2,-0.03457471736634754
19,3,5.092700570821762,1.2247342294229329,4,-0.05795047844457368
20,3,7.925384305417538,6.102097857028046,3,-0.031199954327956525
21,3,9.299386143684387,1.6934844528213682,4,0.022818330057109426
22,3,6.956236362457275,5.390913692451293,2,-0.0004716210947596222
23,3,5.605074465274811,5.000533933224857,4,0.003354571705632692
24,3,6.116948127746582,2.9520219440529285,4,-0.0015151723748583201
25,4,9.77710336446762,6.0283649133820925,2,-0.049187284609864323
26,4,8.669663667678833,2.1567003049887794,1,-0.06934934058332132
27,4,5.077757239341736,0.6362584160470516,5,0.008541102125831257
28,4,7.438866118900478,4.9878697908241065,1,-0.007318665221576759
29,4,9.427776783704758,2.9720930396374037,3,0.03900221427298778
30,4,5.818943232297897,2.5770139896320146,1,-0.008592946837205129
31,4,9.761038720607758,4.734303628242517,1,-0.040094618476219535
32,4,9.19538214802742,1.5932423100882993,1,-0.012142373322408084
33,5,7.668820060789585,0.24676062087123693,5,0.01823350523854983
34,5,5.044481605291367,0.3973594467047453,3,0.007334181075742574
35,5,6.196102648973465,0.602045888277036,5,0.011799243704426088
36,5,5.403983145952225,1.3042357048190834,3,0.018101167176891808
37,5,9.630289226770401,5.929993714133477,3,0.011627584997319085
38,5,6.437576562166214,0.8968915262444437,2,-0.004888031548005434
39,5,5.0065915286540985,5.1911774847733145,4,-0.11725558938895364
40,5,6.169037073850632,5.75706584303112,5,0.01003851156747726
41,6,5.20946130156517,2.2848640064377963,2,-0.0032232891883106074
42,6,9.470285028219223,2.5538960453089694,5,-0.03199005192850746
43,6,5.6830719113349915,1.84435535801062,5,0.010118700558351845
44,6,5.058562755584717,1.0098308616234721,1,-0.003074101271669405
45,6,9.644313603639603,0.0878644045818776,1,-0.05966365928054573
46,6,5.218213498592377,0.03948053087747097,2,-0.06532447879713832
47,6,8.066751882433891,2.405786286809405,3,0.03726398530516506
48,6,5.063583552837372,6.200305396705485,4,-0.0005027887934659914
49,7,8.205867856740952,5.31701034810766,5,-0.029279420549417456
50,7,8.032409138977528,6.1436677626139735,3,-0.003873452693423318
51,7,6.829303279519081,3.7627918575763513,4,0.002550408814911753
52,7,8.50855641067028,6.114408090287466,5,-0.03746775716786821
53,7,9.077648520469666,0.918494589639777,5,-0.028125691162984023
54,7,9.13413479924202,1.2010511539948405,1,-0.09160118654580651
55,7,8.368703499436378,5.102370633255815,2,-0.10420855628901271
56,7,9.960622936487198,3.457447453436616,4,-0.008016483639380012
57,8,6.773673444986343,1.724838742954722,5,0.013015120692040139
58,8,6.572000160813332,5.154700313005803,4,0.0023738803572486145
59,8,5.314203351736069,5.230297178129438,3,-0.07113158510238138
60,8,5.880011171102524,3.4998306010335503,5,-0.054063763451763114
61,8,6.245011240243912,0.28845860786069333,5,-0.05434413674974481
62,8,6.40276275575161,0.9213801662894726,3,0.023140860371209326
63,8,7.459961245767772,1.5230277663423748,2,-0.08907663532926058
64,8,5.270419269800186,5.607400850471592,3,-0.008664212269214766
65,9,9.698692113161087,1.3799175830380441,2,-0.0036425216101980684
66,9,9.558842331171036,0.9010848814354421,3,0.06537037231069176
67,9,8.287493884563446,2.7451535543162318,3,0.03183506175588402
68,9,8.917758017778397,1.8494690642225953,5,0.02350573549765933
69,9,9.434993267059326,4.315894265022594,4,-0.010261347985549452
70,9,7.45003538671881,4.45021186595348,1,-0.0074703268678889545
71,9,8.453732281923294,0.7001253465509445,3,0.04190597141117092
72,9,8.960132598876953,5.740944251749125,2,-0.08563390948224237
73,10,8.62869068980217,1.3312318566691788,4,-0.013398166722826343
74,10,7.682534456253052,0.8909602711906404,4,-0.05325693255940733
75,10,9.835134893655777,0.324013743325603,3,0.0545953757289066
76,10,9.87180009484291,1.980874685758321,4,-0.00930823678027537
77,10,6.586133167147636,1.1495369632980288,5,0.011439257755728516
78,10,8.33231620490551,1.6201819113771871,5,0.022235967467320483
79,10,7.62022852897644,5.601812456601799,1,-0.004574236996538805
80,10,7.842022553086281,0.599368537534833,1,-0.07325973732850444
81,11,8.385175913572311,0.4322296088156909,1,-0.0699489545234846
82,11,6.398636549711227,4.158624626382007,3,-0.06754475478843813
83,11,6.67055569589138,4.661080763168514,5,-0.0371516054499087
84,11,8.189331069588661,2.7203931157957304,3,0.031403072141715116
85,11,8.239347785711288,3.380978033751435,5,-0.03565265478401758
86,11,6.584099307656288,0.1558462310544312,1,-0.12006298115741987
87,11,9.39849317073822,0.8237489929279179,3,0.060724436008090965
88,11,6.440933495759964,3.5617049434890014,3,-0.07918362698684711
89,12,9.872495532035828,4.667752324989649,1,-0.034250075963575766
90,12,9.923482239246368,2.4711805974130647,2,-0.006852496693264598
91,12,6.985206417739391,5.9745621102380015,3,-0.07633866302060488
92,12,9.55144688487053,3.3227097258405336,5,-0.023282335690892664
93,12,9.121195822954178,0.5164744029732585,3,0.048047944300207535
94,12,9.78640541434288,5.568008703252698,5,-0.01720877891173178
95,12,7.479336210526526,1.3859589431580395,3,0.036141041549242914
96,12,9.620884507894516,3.4668123527687054,3,0.012978001795513228
97,13,9.17828768491745,1.4158050934901834,3,0.06161507582557779
98,13,7.517198574496433,5.862709781507349,2,-0.08781269545783221
99,13,5.370853394269943,3.60890556223887,5,-0.05708818938231963
100,13,9.534870088100433,0.1926391122464329,3,0.04217784207287578
101,13,9.882550239562988,0.388817128652671,1,-0.05254069068371514
102,13,8.455585986375809,5.514270315317399,3,-0.04615526912126022
103,13,7.66820365563035,0.7544850416454704,3,0.032741243330465464
104,13,9.34528574347496,1.937081706454991,1,-0.08039693310880824
105,14,9.155795872211456,0.1089214367305845,3,0.031203224572678545
106,14,8.286706283688545,1.2150644579634726,3,0.04576550775626287
107,14,6.775893419981003,2.6668893565133884,3,0.019363675911521216
108,14,9.711258262395859,0.8798535162652642,3,0.0683965984947783
109,14,9.775034040212631,4.381286094517194,3,-0.016680844850433862
110,14,9.517040997743607,1.8959574642322228,3,0.06786529057704449
111,14,8.33154633641243,0.6078020612953127,3,0.03819109644596663
112,14,8.947542756795883,0.5191963200517774,3,0.045148519426814415
113,15,7.931259721517563,2.10240305894115,5,0.01637568244988641
