step,episode,A,phi,n,reward
1,1,6.086097806692123,2.8886972295053157,3,0.03762452294124041
2,1,7.925521954894066,5.459073409762082,1,-0.005732801668478116
3,1,5.403983145952225,1.3042357048190834,8,0.010404927942666786
4,1,5.419386476278305,0.37217403633437457,5,0.0630129337785994
5,1,7.394029935821891,1.6561627677060218,2,-0.06663876071941777
6,1,6.169037073850632,5.75706584303112,6,0.05029659978101897
7,1,8.007523715496063,4.419288446155684,6,0.07394104478957964
8,1,9.625118672847748,4.871298860795877,5,0.07035352283635943
9,2,5.992701500654221,1.915115558496143,8,0.017604568808356813
10,2,7.446026494726539,2.460563089106215,4,0.04200691680923607
11,2,9.707877039909363,3.042109492572277,3,-0.004629766328887008
12,2,9.090413302183151,5.889788886664117,2,-0.06667611042043975
13,2,6.429305970668793,0.9919782988586874,1,-0.013210631337541523
14,2,5.578584223985672,2.776939908526295,4,0.023695322369137406
15,2,5.242414176464081,6.048621249505225,5,0.04450704206534306
16,2,8.92710566520691,4.028098066467436,6,0.08648762503064589
17,3,9.746994376182556,2.9873791291469227,3,-0.0011045651341776708
18,3,7.32775678858161,5.953415945416663,8,0.06459118076760939
19,3,9.495246857404709,2.599857841624041,1,-0.009450756981107422
20,3,6.121470630168915,4.694657190751702,3,0.03995590985034081
21,3,6.261152774095535,0.31284257319143416,5,0.06895148279849517
22,3,6.9617000967264175,1.2060360297892303,4,0.03828182690875259
23,3,6.019149273633957,2.4450151957775295,1,-0.001080896740201398
24,3,9.465395212173462,5.300472866771221,6,0.09545751880678699
25,4,7.947188429534435,2.2216607960140364,5,0.09240183762399501
26,4,8.568211048841476,4.852013621395996,8,0.06381895515697766
27,4,8.35042804479599,1.0322804981552929,3,-0.014086241668798904
28,4,9.830410033464432,5.489182089520758,8,0.07793384874272946
29,4,5.204397588968277,0.21842242308678927,6,0.051839287396296285
30,4,5.54790586233139,0.39382915620658104,6,-0.02743176214299503
31,4,9.795928746461868,4.842475676410345,3,0.020281535646552218
32,4,5.068419575691223,5.548066765779457,1,-0.0026310930415722744
33,5,6.624286696314812,5.128804088296545,6,0.058770212160464075
34,5,5.635992586612701,4.272852827697431,4,0.0556580287828512
35,5,8.058637641370296,6.025808341156376,2,0.025942757625090795
36,5,5.589766502380371,0.8387202858738274,2,0.04664570825815173
37,5,6.394711807370186,1.3397200584557265,6,0.0989945575386475
38,5,5.754330009222031,5.249859552729938,7,-0.0007408948830710527
39,5,6.801389902830124,1.2722947494265795,7,0.0106206423400379
40,5,8.376764133572578,0.021502508258351684,6,0.07193957244579408
41,6,5.954802483320236,5.942061079585326,7,0.022792930612125062
42,6,6.77664041519165,5.274541063894317,2,-0.01605391156451219
43,6,8.148162737488747,5.811523658966947,8,0.057388112894832366
44,6,6.049761325120926,6.125740672950644,3,0.004291761889142709
45,6,9.128383100032806,3.036521730683093,8,0.0661202806004011
46,6,5.484743118286133,5.465249779665623,1,0.0020160554948016607
47,6,7.563080163672566,0.25145656449362935,6,0.05781395025695857
48,6,5.454547256231308,0.1979954990124643,1,0.04640980591649746
49,7,5.189884752035141,5.791515059242746,8,0.030974452430402755
50,7,8.867520689964294,5.847148639992553,8,0.0651566569779678
51,7,8.228531330823898,3.9974602082783868,3,0.014533048573316387
52,7,7.125021629035473,2.0173642162577528,8,0.04291604901488566
53,7,5.819054841995239,1.7428927905004978,1,0.03956573874715841
54,7,5.65191850066185,3.6452747823556,3,0.047767254780274104
55,7,7.27137316018343,3.6749105065514627,6,0.06602178587819219
56,7,9.269095659255981,4.19727094285491,1,-0.009554428955738214
57,8,9.4489586353302,0.939012706175387,4,0.07901141868072914
58,8,9.767009317874908,1.64497193595289,8,0.0845067347703603
59,8,8.561434298753738,2.7108475402293855,4,0.056028052023704644
60,8,9.757497608661652,0.45829754499722425,2,-0.04036573447174985
61,8,8.586538061499596,1.987174736607814,5,0.10335658309356521
62,8,7.627922305837274,3.683496688739176,2,-0.02476382042482872
63,8,7.042418085038662,4.607993736581428,1,0.04412836780270046
64,8,8.422782272100449,3.8756871883796054,6,0.0811629244595451
65,9,6.329071298241615,1.2680375407873303,8,0.03595169590088543
66,9,8.088592812418938,5.092831190242053,3,0.018930419731544523
67,9,7.97858003526926,4.104664062152428,7,0.03515732501053814
68,9,8.500383347272873,4.5100461984080855,1,-0.007365059090820969
69,9,6.930108144879341,3.3096178847106175,3,-0.016905953706679022
70,9,6.92930918186903,4.34590145337672,5,0.025843367739237566
71,9,5.424836575984955,2.1830180373578982,1,-0.0007533937724666373
72,9,8.332969471812248,1.868338039061004,2,-0.07552374087551028
73,10,7.930530421435833,1.1156173000238032,5,0.09327083443280348
74,10,8.289186730980873,4.016576451381943,8,0.05970983337263602
75,10,8.68123784661293,2.6948915746804634,4,0.05830072555017485
76,10,7.539770151488483,2.1246842609371885,6,0.10741007112542755
77,10,6.991038769483566,2.56432527020756,5,0.07851758896356764
78,10,6.936856471002102,5.029246638037169,5,0.02690787764048208
79,10,9.41008135676384,0.9544987590310962,5,0.11795879307891521
80,10,8.174580410122871,1.3501729241104514,7,0.03468334254104888
81,11,6.281903237104416,4.182124006112932,3,0.021395379753135213
82,11,5.310767889022827,3.6678598499913724,5,0.00265442741926325
83,11,5.908592343330383,2.078383863455549,8,0.05738926859117943
84,11,6.6474997997283936,3.761083403328612,4,0.019926783630262568
85,11,8.632367998361588,1.486436369931364,6,0.12496372917157927
86,11,6.246631294488907,3.4232672268977535,8,0.0115660821158996
87,11,5.77795535326004,1.6157710612297567,6,0.09477102849626551
88,11,8.929626494646072,3.5412239031491497,2,-0.06688922617111126
89,12,8.512429520487785,4.126510929622901,8,0.06244654236361957
90,12,6.887679100036621,0.5683803280212164,1,-0.0006279038540802917
91,12,7.497444898763206,1.61568979320471,7,0.04676873313635288
92,12,8.894063532352448,1.0504118814023227,6,0.12665496718958025
93,12,5.838742107152939,0.7047915168646217,5,0.06954808264631751
94,12,6.839270368218422,5.827687756796605,6,0.05686078802458083
95,12,7.2497873567044735,0.3923957305574298,8,0.06262066505314534
96,12,8.702276647090912,3.491464956671871,2,-0.07284402842344984
97,13,6.868011727929115,0.4451686393748939,5,0.07588350313607894
98,13,9.311209321022034,3.0389536856952883,7,0.04991181302035552
99,13,6.896823942661285,2.3116153243184256,8,0.05968021948878133
100,13,7.068694196641445,0.5778366304747939,5,0.07919245550736065
101,13,9.686342179775238,5.69428760445723,5,0.08812479917270832
102,13,8.98052528500557,5.026680515882242,1,-0.010140727741321909
103,13,8.142251893877983,4.992112580942783,8,0.05928664141948903
104,13,8.963909894227982,3.4854098334186014,1,0.0011187541459771744
105,14,7.647928176447749,4.0035676688888,5,0.026916842637579652
106,14,5.189072638750076,0.271464415203774,3,0.04560584207843621
107,14,6.498583555221558,0.07303018120816648,5,0.06709439233419245
108,14,8.5538749396801,2.4934661530533027,5,0.09882643378160538
109,14,8.587276265025139,1.2273222602389902,3,-0.010434575228149834
110,14,9.21547070145607,0.5312475817014277,5,0.10890669121463681
111,14,7.846825569868088,4.775158412658737,5,0.04069495428319114
112,14,7.535770626273006,1.9967231677902462,5,0.0882943191178227
113,15,7.511664842022583,1.3033129195024253,5,0.08849873040409939
114,15,9.42443460226059,0.9481383189233602,4,0.07849323249604367
115,15,5.773934721946716,4.389332378010862,8,-0.002368943700219006
116,15,8.911080658435822,5.18766479610546,5,0.05779663485272879
117,15,8.538845404982567,6.207394440235931,7,0.040762846433340716
118,15,8.73119406402111,5.479294729478109,6,0.0830068546822067
119,15,6.377678364515305,0.09965088976282777,6,0.052573682322455406
120,15,6.006537228822708,0.3523517538565368,5,0.06741079260060401
121,16,9.573782533407211,0.41232793084794583,6,0.12395376412972392
122,16,8.93996313214302,0.38358152040312593,8,0.06286814439924826
123,16,6.005702465772629,1.0051783608163118,7,0.01376069603649599
124,16,8.995636105537415,0.26661417468590143,7,0.04528468542012232
125,16,8.754821568727493,0.3486175442817003,6,0.0749692872025669
126,16,8.33349660038948,1.967700464785619,1,-0.0014901067716457383
127,16,8.871797919273376,4.308178015847232,5,0.05129074581160298
128,16,9.110142290592194,0.10947346008965672,6,0.08492510352834759
129,17,9.767583459615707,1.4820954589713873,5,0.12796128484040348
130,17,7.654013112187386,0.2981590888964385,5,0.0814175851557819
131,17,8.11592549085617,4.394782017026832,6,0.07453096431169604
132,17,5.565637052059174,0.627470795891726,3,0.04567458931027635
133,17,8.1857068836689,1.804656395909147,6,0.11791901173933628
134,17,8.327744603157043,1.286009196786976,3,-0.013982342563093941
135,17,7.917310185730457,0.5880421342376143,6,0.08412479382844795
136,17,5.807768255472183,0.4773865427145034,5,0.0672435706875325
137,18,8.832405656576157,0.26864681157963577,3,-0.023716472280322587
138,18,8.26925940811634,0.193774430301404,5,0.0866007029038709
139,18,9.001012742519379,0.47059111269390286,3,-0.008623679216103963
140,18,7.599994437769055,0.7787472921921552,5,0.08683691922083359
141,18,6.385561302304268,3.3010897745189127,5,0.05959975496565306
142,18,8.922672718763351,1.118104401195851,5,0.10913071593718615
143,18,7.548789889551699,0.09409395448337496,5,0.07651272301432321
144,18,7.6455489825457335,5.602895156419355,5,0.026025753991661515
145,19,7.80459513887763,0.6572873601686686,6,0.0994844926259224
146,19,9.391559958457947,1.035007283825174,6,0.13575645670180303
147,19,8.728000149130821,1.805789373295194,5,0.10635397175424699
148,19,9.004397988319397,4.277368258932393,3,0.022824181175777225
149,19,8.356219157576561,0.5726573855329424,5,0.0947685701364056
150,19,8.27640451490879,2.9572339817664073,5,0.08647518626418149
151,19,9.014966189861298,0.9727428688935131,5,0.11004342211708873
152,19,9.218256175518036,0.81910136071212,5,0.11278542860635699
153,20,7.190313376486301,2.7280562785998925,6,0.0514620093217264
154,20,9.529145359992981,0.4658240127362162,6,0.12526787104032056
155,20,7.781265452504158,0.6370285897498549,6,0.0965438533321128
156,20,9.355771541595459,0.8787116443373055,6,0.13279631753725774
157,20,7.344793863594532,1.9822775890847013,6,0.10673688134338688
158,20,9.793940484523773,3.3860231583639324,6,0.10034947455898169
159,20,8.685817122459412,0.36368957961810533,6,0.07202591565554362
160,20,8.794455230236053,0.8632064916231752,8,0.060134154300826914
161,21,7.609570641070604,0.43140269729816616,6,0.05783618906123378
162,21,8.778922706842422,0.6305846345749051,5,0.1023443868229239
163,21,8.785187900066376,1.162978207781598,6,0.12592506812262116
164,21,8.662561997771263,0.7854586453850002,6,0.11835992659658112
165,21,7.934381850063801,0.7488528304534168,6,0.1064912858491327
166,21,8.555281907320023,0.7414070689789296,6,0.11547725916924811
167,21,8.446241617202759,0.67155158384597,6,0.11130939060064815
168,21,9.20021340250969,1.1947373400120735,6,0.1335603597488999
169,22,9.060114026069641,1.8717194630155922,6,0.13146392657520423
170,22,9.02197927236557,1.0235151611681252,6,0.12858385111424475
171,22,9.014263153076172,0.5378259848993808,6,0.11600090318003531
172,22,8.848170191049576,0.5251103477822989,6,0.11076602626837673
173,22,9.258856177330017,0.22413140821955505,6,0.08497507236462809
174,22,9.475049376487732,1.0033764202517421,6,0.13706354259008258
175,22,8.810843676328659,2.2852346747686254,6,0.12233575584211187
176,22,8.632843345403671,0.3391966327422559,6,0.07224971992734486
177,23,8.620825186371803,3.117550517421861,6,0.07678820628578564
178,23,8.973136395215988,0.6855972826725126,6,0.12114681819426787
179,23,9.186173975467682,1.0612209032405466,6,0.13205171507341995
180,23,9.548185467720032,2.074595256734915,6,0.13933200083103237
181,23,9.071716070175171,1.7499512180814163,6,0.13223490964525464
182,23,9.35411348938942,1.9480485830054597,6,0.13654150853779012
183,23,9.642768651247025,0.6418505549871236,6,0.13373579178226414
184,23,9.195277243852615,1.7219526981712416,6,0.1346210485038406
185,24,9.300114065408707,0.8911218709731639,6,0.1319023697119377
186,24,9.010348320007324,0.9762761554479004,6,0.127757621750606
187,24,9.022396206855774,1.0728515934979053,6,0.12916007596866375
188,24,8.638074398040771,1.4417941959423513,6,0.12496949429266357
189,24,8.797767460346222,2.49943307990151,6,0.11640361325456783
190,24,9.40700814127922,0.8355206850812674,6,0.13305949564876984
191,24,8.640500828623772,0.4976576718652368,6,0.0912017705535253
192,24,9.400188326835632,1.954894665101579,6,0.1374108193219068
193,25,9.558209925889969,2.0133380784546957,6,0.14015817675206588
194,25,8.746654316782951,1.6326899779740751,6,0.12684649880789567
195,25,9.120647311210632,1.1629186611641675,6,0.13181868527181884
196,25,9.209839254617691,1.67971944701221,6,0.1349986004717647
197,25,8.567662239074707,1.7772791831581995,6,0.12362431718720868
198,25,9.432257860898972,2.3251926084798664,6,0.1332127957630702
199,25,9.525623470544815,2.1793653766883794,6,0.1375593029213733
200,25,9.139829725027084,1.4787795737466753,6,0.13370984539722186
201,26,9.341868907213211,2.08841559595744,6,0.1349761011347872
202,26,9.464835226535797,1.6200978345494317,6,0.14013284495698852
203,26,9.523463696241379,1.9129584916424007,6,0.14024242233954376
204,26,9.300922006368637,2.085311494456986,3,0.00331418974663511
205,26,9.082973301410675,1.9687021774583997,6,0.1312058856341598
206,26,9.060204476118088,1.5035827996951103,6,0.13227877266383992
207,26,8.830135315656662,2.313553585441138,6,0.12210803689944694
208,26,9.235149025917053,1.7538351368406415,6,0.13528341615823813
209,27,9.153943210840225,1.6211042285600603,6,0.1340285770973051
210,27,9.396383613348007,2.0419995694309474,6,0.13656068107256614
211,27,9.442193508148193,1.3929558579596313,6,0.1393996858910853
212,27,9.185943305492401,1.9420854948542878,6,0.13332663519342547
213,27,9.489789754152298,1.8566846911284598,6,0.1398935356492239
214,27,9.228524267673492,1.9509064461350933,6,0.13406942728899685
215,27,9.222841262817383,2.025497947142427,6,0.13331772363893357
216,27,9.25213024020195,1.4392630901945294,6,0.1357600173154041
217,28,9.363190978765488,1.501472639846608,6,0.13805502317070983
218,28,9.731097966432571,1.9987831436970145,6,0.1439568303992229
219,28,9.360104203224182,2.3456612900877984,6,0.13133446186302278
220,28,9.658190160989761,1.542707923403138,6,0.1441982440095848
221,28,9.51509416103363,1.5043499773416908,6,0.14114933667705887
222,28,9.69462737441063,1.3543222747256756,6,0.14454135221816866
223,28,9.614962190389633,1.571059322560318,6,0.14328490987906606
224,28,9.5314522087574,1.9560808224855826,6,0.140090551814944
225,29,9.419874548912048,2.024577315241179,6,0.13720387619218744
226,29,9.345069378614426,1.3920836310917348,6,0.1374442409914136
227,29,9.640196710824966,1.3282803667825789,6,0.1432672270569224
228,29,9.54652652144432,1.4291358584005327,3,0.011074577152083709
229,29,9.559091180562973,1.589297253056775,6,0.14210729538329359
230,29,9.549560099840164,1.4714047813539686,6,0.1418181040834825
231,29,9.663257449865341,1.3314968203913928,6,0.14377306799970335
232,29,9.313993006944656,1.5949832060073272,6,0.13712182843186693
233,30,9.588603228330612,1.7229187390496181,6,0.14251464160386607
234,30,9.627888053655624,1.7327224903982967,6,0.14331640761476971
235,30,9.678101241588593,1.6668146838460565,6,0.144542481193213
236,30,9.561817646026611,1.420169036632374,6,0.14195598600605353
237,30,9.58252027630806,1.6092781392609135,6,0.14258881326017936
238,30,9.600608348846436,1.5268220842951836,6,0.1429652162120818
239,30,9.578795284032822,1.743616431705089,6,0.14224511050260769
240,30,9.596175700426102,1.6497098243624033,6,0.14283082809985492
241,31,9.759313762187958,1.3009658839587988,6,0.14566613869825806
242,31,9.693686962127686,1.4332196702858806,6,0.1447834138201245
243,31,9.684045016765594,1.7484984116935731,6,0.1444604200722408
244,31,9.697578251361847,1.312937188358,6,0.1444140519315158
245,31,9.582059681415558,1.3347196406196804,6,0.14206851609257054
246,31,9.57312524318695,1.4562853708785386,6,0.14228041602396369
247,31,9.643902629613876,1.4261025387283446,6,0.14370536957899938
248,31,9.76867213845253,1.5340886441568375,6,0.14654349259452482
249,32,9.81908693909645,1.7042141727964417,6,0.14746323983772136
250,32,9.710737764835358,1.5459298073638559,6,0.14531961016291306
251,32,9.772678911685944,1.4678426577584358,6,0.14654066681675104
252,32,9.672106802463531,1.5667085807908596,6,0.1444992060432897
253,32,9.756173640489578,1.4918916265527518,6,0.14623077318757738
254,32,9.861609637737274,1.1390631252497436,6,0.1467176954479592
255,32,9.750510305166245,1.5524042848615767,6,0.14616708964262282
256,32,9.605865627527237,1.9721875271132203,6,0.14152455053098567
257,33,9.759138226509094,1.7484358690199198,6,0.14605767926821067
258,33,9.828298389911652,1.5885288582623542,6,0.14782703701501676
259,33,9.812643229961395,1.343622796193102,6,0.14700696691167892
260,33,9.84292820096016,1.4107649779091835,6,0.14790710071860258
261,33,9.806195944547653,1.679205342489709,6,0.14724319658929286
262,33,9.81895700097084,1.4494227168464364,6,0.14748808396902202
263,33,9.779328554868698,1.422194370639065,6,0.1465762328708098
264,33,9.808880984783173,1.8183283367218808,6,0.14683224967316533
265,34,9.764378815889359,1.5659736107486755,6,0.1464621128667749
266,34,9.851962625980377,1.488362646829185,6,0.14827821953287135
267,34,9.80077937245369,1.2946402730046542,6,0.14651473379236069
