step,episode,A,phi,n,reward
1,1,8.986461013555527,3.5078189529713453,1,-0.0920328212153495
2,1,8.873361945152283,1.4945781527171373,1,-0.07597020701322355
3,1,9.257177114486694,1.1030025925507307,3,0.0015904191156304037
4,1,7.2552998177707195,6.042689807197908,3,-0.00013724993709296474
5,1,8.416227400302887,0.7352893094252497,3,0.00036667136741308504
6,1,9.088546335697174,0.3511359167905748,3,0.0012627428735305646
7,1,9.63531568646431,5.254742188105721,1,-0.04997756282507726
8,1,9.666830897331238,6.0942107390212215,2,-0.061031854599732815
9,2,8.847077041864395,3.7424393199604356,2,-0.06344768918824417
10,2,7.205464858561754,1.6249906752417238,3,-0.003931377533251124
11,2,5.673611909151077,1.6223252150976555,3,-0.004082650704670732
12,2,9.487597644329071,5.42692778627885,1,-0.05888021642919983
13,2,9.651156961917877,1.3301650734003068,2,0.06293515643280001
14,2,5.537400841712952,4.659561575409982,1,-0.09134861247009185
15,2,9.379749149084091,5.25792605960311,2,-0.05619748611469377
16,2,9.867215752601624,2.840829215825103,3,0.0034829961370925755
17,3,5.472556948661804,3.7040516942170303,2,-0.010875755592274827
18,3,8.264788910746574,4.9651714816257835,1,-0.019485501358278312
19,3,8.20630244910717,3.4632264947902818,1,-0.17239167512340103
20,3,7.925269231200218,0.10137493286560179,1,-0.14602148333164133
21,3,5.855794250965118,3.236271315283973,2,-0.201886757050033
22,3,9.287180751562119,1.8137815405233355,3,0.006896093363929046
23,3,9.478491693735123,3.4737416456450783,1,-0.1695320742970705
24,3,5.636234730482101,2.511653431474241,2,-0.1915425347081633
25,4,8.145228326320648,6.15926654208507,2,-0.09317512886562296
26,4,6.3942451030015945,0.48468493567352594,1,-0.16661432642586993
27,4,7.379986625164747,3.673770553972022,3,-0.005558355813302107
28,4,7.796263508498669,4.660595214806888,2,-0.07662426251283982
29,4,7.0738548040390015,5.430484292268965,3,-0.010673142899127797
30,4,5.408880412578583,0.2559504615744889,3,0.002104143516808543
31,4,5.376122891902924,4.9539776538164295,3,-0.005232312323368071
32,4,7.040526643395424,6.258997763605374,1,-0.15858868457980135
33,5,6.107870489358902,0.1770083124244541,2,-0.20857479960271452
34,5,9.540515542030334,4.5547627120421295,2,-0.05335508185552784
35,5,6.550610363483429,5.247399977824438,2,-0.019886743619329628
36,5,9.666638523340225,0.012798215916725994,3,-0.04140371785568542
37,5,6.704225614666939,6.215061535363886,3,0.002895646463860535
38,5,8.431304022669792,2.935898386609037,3,0.002403430938994644
39,5,8.687980100512505,1.2021561369805545,2,0.04259533725483533
40,5,7.6609827764332294,5.186289980806169,3,-0.027931708560585466
41,6,7.31333464384079,1.5225972705138446,2,0.029883538684836397
42,6,5.960458666086197,1.3037198213882,2,0.017287737939063907
43,6,7.03840859234333,5.9706745400352546,3,-0.002732200071656754
44,6,5.700833797454834,4.035357136188533,3,-0.008096989165504276
45,6,5.487889796495438,1.6065731686254054,3,-0.0038912434316288325
46,6,6.442953273653984,5.3389530893772665,3,-0.01338501915652801
47,6,8.273472264409065,2.278619944388969,3,-0.0019846760942302533
48,6,5.749439150094986,1.5458198895511777,2,0.017805498134909836
49,7,5.539412498474121,4.809655940276957,3,-0.004318313461817658
50,7,9.624289870262146,2.17877468547868,2,0.051191138790649626
51,7,7.153542786836624,2.923023888292073,2,-0.11193357490164968
52,7,6.713222414255142,0.9126234429639459,2,0.008932306490229358
53,7,9.471291601657867,0.909382084637779,3,-0.0030489144897404286
54,7,9.721587747335434,3.878916983801287,1,-0.25992872641775877
55,7,5.411197394132614,5.224405433567075,3,-0.01264551409901249
56,7,8.497012332081795,2.377659217361916,3,-2.6314961316220575e-05
57,8,5.215780138969421,0.3482394794370711,2,-0.20055439836440359
58,8,5.388386845588684,0.3177843806776196,3,0.0018974818616379618
59,8,7.400349173694849,0.2647350856735915,2,-0.1102090791817647
60,8,5.45675590634346,2.4130684823394724,3,-0.00019395515646170036
61,8,6.888914331793785,0.700159988451022,3,0.0002376246932171977
62,8,7.356694722548127,0.9434341361463547,2,0.016122038480544942
63,8,8.29590380191803,4.054938610647453,3,-0.10308769893735481
64,8,9.774715006351471,5.347706067632514,2,-0.05088312141131912
65,9,9.298612028360367,2.502934673798664,3,0.001871087896184287
66,9,6.953837163746357,2.8195716117562855,2,-0.11835328648651355
67,9,6.384231522679329,3.2441246106248447,3,0.0024566073069083316
68,9,6.379144787788391,1.9860327710530983,3,-0.003991486514191234
69,9,9.608041942119598,0.7146859925408007,3,0.0017279455672027932
70,9,5.907881408929825,0.8754006277039559,3,-0.001409302131439416
71,9,9.603286981582642,1.6209988048317165,2,0.0637050188299777
72,9,9.569661617279053,1.9960978346804694,1,-0.06541127776156008
73,10,5.4682756960392,3.7190888535864652,3,-0.0063127860690422866
74,10,6.639731824398041,5.929713021116093,2,-0.09461004150482355
75,10,8.45131941139698,3.402165511379285,3,-0.001327414343385347
76,10,7.289080768823624,3.247135249215158,3,0.0028516477432007914
77,10,6.007290035486221,0.41842359448698163,3,0.001870804798026704
78,10,9.330836832523346,0.9604640942244351,3,-0.0024730467510931664
79,10,8.583185821771622,4.434665330212771,3,-0.09704047869133337
80,10,7.183541394770145,0.3534734024049908,3,0.0031872573173961083
81,11,5.9308068454265594,4.943273119438979,2,-0.015865893900867456
82,11,6.1040666699409485,0.4922647706639886,3,0.0015096637202074437
83,11,9.222869277000427,4.9877385261108405,3,-0.09007189903165935
84,11,7.51101192436181,1.2726327420192272,2,0.02922674437513595
85,11,9.370248168706894,2.674780079150357,3,0.00309752178506173
86,11,5.686189979314804,4.344382359244944,3,-0.010403139677075957
87,11,6.748616993427277,3.271852549207387,2,-0.10587527432540678
88,11,9.539232105016708,4.8400020574913,3,-0.04913536555675069
89,12,5.0886256992816925,4.389945914149261,3,-0.006572103981558164
90,12,6.889126971364021,0.15123267897816897,3,0.0037035427693505873
91,12,9.429470300674438,1.8516892355105328,2,0.05765394054859696
92,12,6.292009428143501,3.952510751273011,2,-0.01397203306217798
93,12,6.02384939789772,0.12086596387729348,3,0.002832778921801671
94,12,5.89162290096283,1.030089070281744,3,-0.20032540487315942
95,12,6.44141860306263,3.0395643311075657,3,0.0032247184457148137
96,12,5.916583389043808,3.599235650339274,3,-0.0017310530632602683
97,13,5.82346573472023,2.366311279910595,1,-0.14866394128728533
98,13,7.0454806834459305,2.025726115549153,3,-0.0044478670792262864
99,13,9.872052520513535,0.8743173661258579,3,0.0009577342350866047
100,13,5.5074431002140045,0.6185753177123756,2,-0.18914304739234333
101,13,5.606745481491089,2.532507714880738,3,0.0005936173347718121
102,13,8.808023631572723,2.9395990543981902,3,0.0039017575655349024
103,13,6.902395039796829,1.0048283839987726,3,-0.0035987635325855916
104,13,8.609156757593155,0.3285001502659053,3,0.00414556433247637
105,14,9.701476693153381,4.809787954004279,3,-0.024760811683237183
106,14,9.201118797063828,5.304312500074402,3,-0.09093540766595565
107,14,6.753721535205841,2.610382331747845,2,-0.13315935963986747
108,14,6.757426410913467,2.52110907854052,3,0.0009344280146563744
109,14,6.865245848894119,3.1743222557506274,3,0.003245687460423863
110,14,5.383614152669907,3.5924054847918394,3,0.00019411316473583184
